Присоединение,Uptime,Uptime_percent,outage_time,outage_percent,events,outage_min,outage_max,MTBF,MTTR
Ввод-1 (контр.),30 д 16:30:00,98.992,0 д 07:29:59,1.008,25,0 д 00:09:59,0 д 00:50:00,0 д 10:08:20,0:17:59.960000
Ввод-2 (контр.),29 д 02:59:59,93.952,1 д 21:00:00,6.048,36,0 д 00:10:00,0 д 10:10:00,0 д 06:30:34,1:15:00
Ввод-1 (ком.),30 д 18:59:59,99.328,0 д 05:00:00,0.672,16,0 д 00:10:00,0 д 00:50:00,0 д 15:30:00,0:18:45
Ввод-2 (ком.),30 д 23:59:59,100.0,0 д 00:00:00,0.0,0,NaT,NaT,,
SATEC PM180 Test,30 д 02:46:07,97.146,0 д 21:13:52,2.854,61,0 д 00:00:56,0 д 01:30:00,0 д 04:04:00,0:20:52.983607
