Date,gen_power,cons_power,gkal,temp,gkal_plan,noise,DG
2021-11-15 00:00:00,219.50444444444443,11892,67.59508385200652,84.37078717010327,56.643018730802225,1.0,219.50444444444443
2021-11-15 00:30:00,219.50444444444443,11892,67.59508385200652,84.37078717010327,56.643018730802225,1.0,219.50444444444443
2021-11-15 01:00:00,218.66222222222223,11427,99.10164773377404,85.28006521663916,91.97218064090396,1.0,218.66222222222223
2021-11-15 01:30:00,217.29111111111112,11427,99.10164773377404,85.28006521663916,91.97218064090396,1.0,217.29111111111112
2021-11-15 02:00:00,214.87555555555556,10969,125.66044269828542,80.38645317778565,125.46016834969399,1.0,214.87555555555556
2021-11-15 02:30:00,210.05777777777777,10969,125.66044269828542,80.38645317778565,125.46016834969399,1.0,210.05777777777777
2021-11-15 03:00:00,208.4533333333333,11044,156.82357446981163,72.94991831274928,172.72687771505184,1.0,208.4533333333333
2021-11-15 03:30:00,207.60222222222217,11044,156.82357446981163,72.94991831274928,172.72687771505184,1.0,206.88750451022986
2021-11-15 04:00:00,208.2789856668509,11078,114.88798652304986,73.84655359684466,97.93840424667054,1.0,207.19116727070843
2021-11-15 04:30:00,209.35416282348618,11078,114.88798652304986,73.84655359684466,97.93840424667054,0.9827863665344763,208.09774497997782
2021-11-15 05:00:00,212.0037039989293,11123,150.85840597942138,76.79033879293797,152.29473006607748,0.9910991795118619,210.39633245154604
2021-11-15 05:30:00,220.1227787987565,11123,150.85840597942138,76.79033879293797,152.29473006607748,0.9961074594290847,217.9753277780868
2021-11-15 06:00:00,225.15418140786673,11747,108.45487680027288,79.80251349738286,85.98922904643834,0.9920979505535488,223.5326828218979
2021-11-15 06:30:00,233.45011662446134,11747,108.45487680027288,79.80251349738286,85.98922904643834,0.9891305615170843,232.3457115093599
2021-11-15 07:00:00,238.81224907431786,12693,139.95724985552692,66.46119411464802,134.9497220368547,0.9955562220149001,237.95395487418466
2021-11-15 07:30:00,249.85214102491548,12693,139.95724985552692,66.46119411464802,134.9497220368547,1.0034538214056048,249.29342314203274
2021-11-15 08:00:00,255.37923569756495,13262,148.0437040042963,81.90353694499424,153.36973122339177,1.001791382180398,255.7386672618157
2021-11-15 08:30:00,265.6212235951218,13262,148.0437040042963,81.90353694499424,153.36973122339177,0.998887042397012,266.9518268613195
2021-11-15 09:00:00,270.3588070474031,14064,137.13675097767376,74.73329872405274,140.9644802658859,1.0073487439991564,272.737914960454
2021-11-15 09:30:00,278.8262502266944,14064,137.13675097767376,74.73329872405274,140.9644802658859,1.013566015829117,282.2339720640383
2021-11-15 10:00:00,280.48238987626524,14247,139.7954622376513,81.66959761174556,153.68792130225876,1.0224058984988704,285.05805270093134
2021-11-15 10:30:00,282.812542789992,14247,139.7954622376513,81.66959761174556,153.68792130225876,1.0189006388703656,288.31826797812056
2021-11-15 11:00:00,282.5673315649927,14161,113.17220433942425,75.70789175153597,116.77327138600036,1.0193464409176138,288.64352422561876
2021-11-15 11:30:00,283.4030231401096,14161,113.17220433942425,75.70789175153597,116.77327138600036,1.0231197790129363,290.0725742714352
2021-11-15 12:00:00,284.9189192694549,13948,88.75593634095246,80.48728325170696,86.78744895900907,1.0237448496891974,292.43619472681263
2021-11-15 12:30:00,285.9343571579178,13948,88.75593634095246,80.48728325170696,86.78744895900907,1.0325573103055734,294.1044800112001
2021-11-15 13:00:00,286.81546544059677,13758,74.73250736755071,84.5436985255032,72.73437006652408,1.0331511759369651,294.7031445258962
2021-11-15 13:30:00,286.36760821890965,13758,74.73250736755071,84.5436985255032,72.73437006652408,1.030293991591429,293.7429323681535
2021-11-15 14:00:00,285.1502722337254,13914,71.04974028618216,79.32060076761546,71.97485675228741,1.017757096674859,291.1989957739956
2021-11-15 14:30:00,283.6353149251195,13914,71.04974028618216,79.32060076761546,71.97485675228741,1.0150141404220534,288.1387322010675
2021-11-15 15:00:00,282.4725735965968,13866,49.492016290874695,86.50492763787739,47.10167834162512,1.009845628787596,285.7222042797708
2021-11-15 15:30:00,281.95146045815517,13866,49.492016290874695,86.50492763787739,47.10167834162512,1.0064765995679281,284.7926680908673
2021-11-15 16:00:00,283.4093885686408,13985,43.757219826813866,75.52075020245677,41.75976092410989,1.0084277062811235,285.90085614594506
2021-11-15 16:30:00,287.8106509703993,13985,43.757219826813866,75.52075020245677,41.75976092410989,1.0106206193155622,289.43903782068725
2021-11-15 17:00:00,290.63233606141574,14457,32.38847603021975,79.05673624685708,29.517547667167126,1.0085847220160202,291.7027580266341
2021-11-15 17:30:00,296.09858902945354,14457,32.38847603021975,79.05673624685708,29.517547667167126,0.9941795569332118,296.812399183037
2021-11-15 18:00:00,297.1714909067088,15032,41.11245928010482,79.34356750760635,39.07053985200332,0.9966027923731702,297.7946316785111
2021-11-15 18:30:00,299.82989456594765,15032,41.11245928010482,79.34356750760635,39.07053985200332,1.0020658986061335,299.8775060762626
2021-11-15 19:00:00,297.8047848521848,14707,40.39433977582721,76.85862643344966,37.32206761605852,1.0090515615771802,297.933766863285
2021-11-15 19:30:00,295.56834235465067,14707,40.39433977582721,76.85862643344966,37.32206761605852,0.9988941658806386,295.3486867748325
2021-11-15 20:00:00,293.4649968587638,14631,50.42388650682079,76.72111476865388,47.13768233513989,0.9955511278814871,292.15645180400145
2021-11-15 20:30:00,291.42580683137254,14631,50.42388650682079,76.72111476865388,47.13768233513989,0.990721428960142,288.4298883050972
2021-11-15 21:00:00,287.99836840849775,14348,34.20380287418387,83.40118736962802,27.39433884327252,0.98348697750743,283.98077958819397
